iter	Passed	Remaining
0	2	280
1	5	256
2	8	268
3	21	526
4	24	467
5	26	418
6	28	380
7	30	351
8	32	327
9	34	308
10	36	294
11	38	282
12	40	268
13	41	256
14	43	246
15	45	237
16	47	229
17	48	222
18	50	216
19	52	210
20	54	204
21	56	199
22	57	193
23	59	188
24	61	183
25	62	178
26	64	173
27	65	169
28	67	164
29	68	160
30	70	157
31	72	153
32	73	150
33	75	146
34	77	143
35	78	139
36	79	134
37	80	132
38	82	129
39	84	126
40	85	123
41	86	119
42	87	115
43	88	113
44	90	110
45	91	107
46	92	104
47	94	101
48	95	99
49	96	96
50	97	93
51	98	90
52	99	88
53	101	86
54	102	83
55	103	81
56	104	79
57	105	76
58	106	73
59	106	71
60	107	68
61	108	66
62	108	63
63	109	61
64	110	59
65	111	57
66	112	55
67	113	53
68	114	51
69	115	49
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	119	37
76	120	36
77	121	34
78	123	32
79	124	31
80	125	29
81	125	27
82	126	25
83	127	24
84	127	22
85	128	20
86	129	19
87	129	17
88	130	16
89	130	14
90	131	13
91	132	11
92	132	9
93	133	8
94	134	7
95	134	5
96	135	4
97	135	2
98	136	1
99	136	0
