iter	Passed	Remaining
0	191	191225
1	194	96958
2	195	65092
3	196	49027
4	197	39354
5	198	32950
6	199	28339
7	200	24873
8	201	22186
9	202	20026
10	203	18251
11	203	16768
12	204	15525
13	205	14467
14	206	13543
15	207	12735
16	207	12013
17	208	11390
18	211	10922
19	212	10409
20	213	9963
21	214	9538
22	215	9150
23	216	8792
24	216	8458
25	217	8152
26	218	7866
27	219	7609
28	220	7376
29	221	7163
30	222	6963
31	224	6790
32	225	6600
33	226	6435
34	227	6269
35	228	6113
36	229	5971
37	230	5833
38	231	5701
39	232	5578
40	233	5459
41	234	5345
42	235	5242
43	237	5156
44	239	5080
45	240	4989
46	241	4897
47	242	4814
48	243	4728
49	244	4647
50	245	4567
51	246	4491
52	247	4417
53	248	4346
54	249	4282
55	252	4251
56	253	4197
57	254	4138
58	255	4080
59	256	4022
60	257	3965
61	258	3910
62	259	3857
63	260	3804
64	261	3756
65	269	3808
66	271	3775
67	272	3739
68	274	3708
69	276	3677
70	278	3639
71	279	3598
72	282	3585
73	285	3578
74	287	3542
75	288	3511
76	289	3474
77	290	3434
78	291	3398
79	292	3362
80	293	3326
81	293	3290
82	294	3253
83	298	3254
84	299	3225
85	300	3194
86	301	3163
87	302	3131
88	303	3101
89	303	3071
90	304	3042
91	305	3014
92	306	2986
93	306	2958
94	307	2930
95	308	2903
96	310	2889
97	312	2876
98	313	2853
99	314	2829
100	315	2806
101	316	2782
102	316	2760
103	317	2738
104	319	2725
105	322	2721
106	328	2744
107	330	2731
108	331	2712
109	332	2694
110	333	2673
111	334	2653
112	335	2633
113	336	2614
114	337	2594
115	337	2575
116	338	2558
117	341	2552
118	343	2543
119	344	2528
120	345	2510
121	346	2490
122	346	2472
123	347	2454
124	348	2436
125	348	2419
126	349	2402
127	350	2386
128	351	2371
129	351	2355
130	352	2339
131	354	2333
132	357	2329
133	358	2317
134	359	2303
135	360	2288
136	361	2274
137	361	2260
138	362	2246
139	363	2232
140	364	2219
141	364	2204
142	365	2190
143	366	2177
144	367	2164
145	369	2159
146	371	2154
147	372	2143
148	373	2132
149	374	2121
150	375	2111
151	376	2102
152	377	2090
153	378	2078
154	379	2067
155	379	2055
156	380	2044
157	381	2033
158	383	2025
159	384	2019
160	386	2013
161	387	2003
162	387	1992
163	388	1982
164	389	1972
165	390	1963
166	391	1952
167	392	1941
168	392	1930
169	393	1920
170	393	1909
171	394	1898
172	395	1888
173	395	1878
174	396	1868
175	397	1863
176	399	1858
177	400	1850
178	401	1842
179	402	1834
180	403	1825
181	404	1816
182	404	1808
183	405	1799
184	406	1790
185	407	1781
186	407	1773
187	408	1764
188	409	1756
189	410	1748
190	411	1742
191	413	1740
192	415	1736
193	416	1728
194	416	1721
195	417	1714
196	418	1706
197	419	1699
198	420	1692
199	421	1684
200	421	1676
201	422	1669
202	423	1662
203	424	1655
204	424	1647
205	426	1642
206	427	1638
207	429	1633
208	430	1627
209	430	1620
210	431	1614
211	432	1607
212	433	1601
213	434	1594
214	434	1588
215	435	1581
216	436	1575
217	437	1568
218	437	1561
219	438	1555
220	439	1549
221	441	1547
222	443	1545
223	444	1539
224	445	1533
225	445	1527
226	446	1521
227	447	1515
228	448	1509
229	449	1503
230	449	1497
231	450	1491
232	451	1485
233	452	1480
234	454	1478
235	459	1488
236	461	1484
237	462	1479
238	465	1481
239	466	1478
240	467	1473
241	468	1468
242	470	1464
243	472	1462
244	473	1457
245	473	1452
246	474	1446
247	475	1441
248	476	1436
249	477	1431
250	478	1426
251	479	1422
252	479	1417
253	480	1412
254	481	1407
255	482	1402
256	485	1404
257	488	1405
258	490	1403
259	491	1399
260	493	1395
261	493	1391
262	494	1386
263	495	1381
264	496	1377
265	497	1374
266	501	1377
267	503	1373
268	504	1371
269	505	1367
270	507	1364
271	508	1360
272	509	1355
273	510	1352
274	511	1348
275	515	1351
276	518	1352
277	519	1347
278	519	1343
279	520	1338
280	521	1334
281	522	1330
282	523	1325
283	524	1321
284	525	1317
285	525	1312
286	526	1308
287	528	1307
288	531	1307
289	532	1302
290	532	1298
291	533	1294
292	534	1289
293	535	1285
294	535	1280
295	536	1276
296	537	1271
297	537	1267
298	538	1262
299	539	1258
300	540	1254
301	540	1250
302	544	1253
303	547	1254
304	548	1250
305	549	1246
306	551	1244
307	552	1241
308	553	1237
309	554	1233
310	555	1230
311	555	1226
312	558	1225
313	561	1226
314	562	1223
315	564	1222
316	566	1219
317	567	1216
318	568	1212
319	568	1209
320	575	1217
321	579	1219
322	580	1216
323	581	1212
324	582	1209
325	583	1205
326	584	1202
327	585	1199
328	592	1208
329	596	1210
330	598	1208
331	599	1205
332	600	1202
333	607	1212
334	612	1216
335	613	1213
336	614	1209
337	615	1206
338	620	1209
339	621	1206
340	625	1208
341	627	1206
342	631	1209
343	637	1215
344	638	1212
345	640	1211
346	642	1208
347	644	1208
348	650	1214
349	654	1215
350	657	1216
351	658	1213
352	659	1209
353	669	1222
354	671	1220
355	673	1218
356	675	1217
357	678	1216
358	681	1215
359	682	1214
360	685	1213
361	686	1210
362	687	1207
363	689	1203
364	689	1200
365	694	1202
366	695	1200
367	697	1197
368	698	1195
369	699	1191
370	700	1187
371	700	1183
372	701	1179
373	702	1175
374	702	1171
375	703	1167
376	704	1164
377	707	1164
378	709	1162
379	710	1159
380	711	1156
381	712	1152
382	713	1148
383	713	1145
384	714	1141
385	715	1137
386	715	1133
387	716	1129
388	716	1125
389	717	1122
390	717	1118
391	718	1114
392	719	1110
393	721	1109
394	723	1107
